,stim1,prompt1,answer1,trialsthisRepN,trialsthisTrialN,trialsthisIndex,participant,Trials_responsekeys,Trials_responsecorr,Trials_responsert,condition,stimLoc,promptType
25,near_right,Left,left,0.0,3.0,7.0,24523564,left,1.0,2.25,friz,near,rel
26,near_left,Away,right,0.0,4.0,14.0,24523564,right,1.0,1.1499999999999773,friz,near,abs
27,near_left,Home,left,0.0,5.0,10.0,24523564,left,1.0,0.7160000000000082,friz,near,abs
28,far_right,Right,left,0.0,6.0,1.0,24523564,left,1.0,2.6330000000000098,friz,far,rel
29,near_left,Left,left,0.0,7.0,6.0,24523564,left,1.0,2.6160000000000143,friz,near,rel
30,far_left,Right,left,0.0,8.0,0.0,24523564,left,1.0,2.783999999999992,friz,far,rel
32,near_left,Right,right,0.0,10.0,2.0,24523564,right,1.0,3.0999999999999943,friz,near,rel
33,far_right,Away,left,0.0,11.0,13.0,24523564,left,1.0,2.6160000000000143,friz,far,abs
34,far_left,Left,right,0.0,12.0,4.0,24523564,right,1.0,3.300000000000012,friz,far,rel
35,near_right,Right,right,0.0,13.0,3.0,24523564,right,1.0,2.4000000000000057,friz,near,rel
36,far_left,Home,left,0.0,14.0,8.0,24523564,left,1.0,1.0840000000000032,friz,far,abs
37,near_right,Away,left,0.0,15.0,15.0,24523564,left,1.0,0.8659999999999854,friz,near,abs
38,near_left,Right,right,1.0,0.0,2.0,24523564,right,1.0,2.165999999999997,friz,near,rel
39,far_right,Home,right,1.0,1.0,9.0,24523564,right,1.0,2.7340000000000098,friz,far,abs
40,near_left,Away,right,1.0,2.0,14.0,24523564,right,1.0,0.5660000000000025,friz,near,abs
41,far_right,Away,left,1.0,3.0,13.0,24523564,left,1.0,1.0840000000000032,friz,far,abs
42,near_right,Away,left,1.0,4.0,15.0,24523564,left,1.0,0.8330000000000268,friz,near,abs
43,near_left,Left,left,1.0,5.0,6.0,24523564,left,1.0,2.3660000000000423,friz,near,rel
44,near_left,Home,left,1.0,6.0,10.0,24523564,left,1.0,1.0159999999999627,friz,near,abs
45,near_right,Left,left,1.0,7.0,7.0,24523564,left,1.0,2.9669999999999845,friz,near,rel
46,near_right,Right,right,1.0,8.0,3.0,24523564,right,1.0,1.8340000000000032,friz,near,rel
47,far_right,Left,right,1.0,9.0,5.0,24523564,right,1.0,3.266999999999996,friz,far,rel
48,far_left,Home,left,1.0,10.0,8.0,24523564,left,1.0,1.1490000000000011,friz,far,abs
49,far_left,Left,right,1.0,11.0,4.0,24523564,right,1.0,1.2000000000000457,friz,far,rel
50,far_left,Away,right,1.0,12.0,12.0,24523564,right,1.0,1.4490000000000125,friz,far,abs
51,near_right,Home,right,1.0,13.0,11.0,24523564,right,1.0,0.8330000000000268,friz,near,abs
52,far_left,Right,left,1.0,14.0,0.0,24523564,left,1.0,1.9669999999999843,friz,far,rel
53,far_right,Right,left,1.0,15.0,1.0,24523564,left,1.0,2.58299999999997,friz,far,rel
54,far_right,Home,right,2.0,0.0,9.0,24523564,right,1.0,0.9669999999999844,friz,far,abs
55,far_left,Right,left,2.0,1.0,0.0,24523564,left,1.0,1.3489999999999895,friz,far,rel
56,near_right,Away,left,2.0,2.0,15.0,24523564,left,1.0,1.6659999999999968,friz,near,abs
57,near_left,Right,right,2.0,3.0,2.0,24523564,right,1.0,2.783999999999992,friz,near,rel
58,far_left,Away,right,2.0,4.0,12.0,24523564,right,1.0,1.1829999999999927,friz,far,abs
59,near_left,Left,left,2.0,5.0,6.0,24523564,left,1.0,1.4329999999999927,friz,near,rel
60,near_right,Left,left,2.0,6.0,7.0,24523564,left,1.0,1.5,friz,near,rel
61,far_right,Left,right,2.0,7.0,5.0,24523564,right,1.0,2.0669999999999504,friz,far,rel
62,near_right,Home,right,2.0,8.0,11.0,24523564,right,1.0,0.9320000000000164,friz,near,abs
63,far_left,Home,left,2.0,9.0,8.0,24523564,left,1.0,2.184000000000026,friz,far,abs
64,near_left,Home,left,2.0,10.0,10.0,24523564,left,1.0,0.6999999999999886,friz,near,abs
65,far_right,Right,left,2.0,11.0,1.0,24523564,left,1.0,2.867000000000018,friz,far,rel
66,near_right,Right,right,2.0,12.0,3.0,24523564,right,1.0,3.0,friz,near,rel
67,far_left,Left,right,2.0,13.0,4.0,24523564,right,1.0,1.4660000000000082,friz,far,rel
68,near_left,Away,right,2.0,14.0,14.0,24523564,right,1.0,1.0649999999999975,friz,near,abs
69,far_right,Away,left,2.0,15.0,13.0,24523564,left,1.0,0.8669999999999618,friz,far,abs
70,far_left,Left,right,3.0,0.0,4.0,24523564,right,1.0,2.100999999999999,friz,far,rel
71,near_right,Home,right,3.0,1.0,11.0,24523564,right,1.0,1.0679999999999836,friz,near,abs
72,near_left,Away,right,3.0,2.0,14.0,24523564,right,1.0,1.4350000000000025,friz,near,abs
73,far_right,Away,left,3.0,3.0,13.0,24523564,left,1.0,0.9499999999999886,friz,far,abs
74,near_right,Left,left,3.0,4.0,7.0,24523564,left,1.0,1.966000000000008,friz,near,rel
75,far_right,Home,right,3.0,5.0,9.0,24523564,right,1.0,1.0500000000000114,friz,far,abs
76,far_left,Home,left,3.0,6.0,8.0,24523564,left,1.0,0.8159999999999741,friz,far,abs
78,near_right,Right,right,3.0,8.0,3.0,24523564,right,1.0,0.9680000000000176,friz,near,rel
80,far_left,Away,right,3.0,10.0,12.0,24523564,right,1.0,0.7830000000000155,friz,far,abs
81,far_left,Right,left,3.0,11.0,0.0,24523564,left,1.0,0.9989999999999668,friz,far,rel
82,far_right,Right,left,3.0,12.0,1.0,24523564,left,1.0,1.5329999999999586,friz,far,rel
83,near_left,Left,left,3.0,13.0,6.0,24523564,left,1.0,1.8180000000000405,friz,near,rel
84,near_left,Home,left,3.0,14.0,10.0,24523564,left,1.0,1.6170000000000186,friz,near,abs
85,near_right,Away,left,3.0,15.0,15.0,24523564,left,1.0,0.9320000000000164,friz,near,abs
22,near_left,Right,right,0.0,0.0,2.0,26044874,right,1.0,1.266999999999996,friz,near,rel
23,near_left,Left,left,0.0,1.0,6.0,26044874,left,1.0,1.1180000000000234,friz,near,rel
24,near_right,Right,right,0.0,2.0,3.0,26044874,right,1.0,0.8830000000000098,friz,near,rel
25,near_right,Left,left,0.0,3.0,7.0,26044874,left,1.0,0.9509999999999934,friz,near,rel
26,near_left,Away,right,0.0,4.0,14.0,26044874,right,1.0,1.5010000000000048,friz,near,abs
27,near_right,Away,left,0.0,5.0,15.0,26044874,left,1.0,0.8840000000000146,friz,near,abs
28,near_right,Home,right,0.0,6.0,11.0,26044874,right,1.0,1.2839999999999918,friz,near,abs
29,far_left,Left,right,0.0,7.0,4.0,26044874,right,1.0,2.65300000000002,friz,far,rel
30,far_right,Home,right,0.0,8.0,9.0,26044874,right,1.0,1.3670000000000186,friz,far,abs
31,near_left,Home,left,0.0,9.0,10.0,26044874,left,1.0,1.1000000000000227,friz,near,abs
32,far_right,Left,right,0.0,10.0,5.0,26044874,right,1.0,1.4169999999999732,friz,far,rel
33,far_left,Right,left,0.0,11.0,0.0,26044874,left,1.0,1.1510000000000105,friz,far,rel
34,far_left,Home,left,0.0,12.0,8.0,26044874,left,1.0,1.0670000000000073,friz,far,abs
35,far_left,Away,right,0.0,13.0,12.0,26044874,right,1.0,2.1680000000000064,friz,far,abs
36,far_right,Away,left,0.0,14.0,13.0,26044874,left,1.0,1.8009999999999875,friz,far,abs
37,far_right,Right,left,0.0,15.0,1.0,26044874,left,1.0,1.2340000000000373,friz,far,rel
38,far_right,Left,right,1.0,0.0,5.0,26044874,right,1.0,1.6000000000000227,friz,far,rel
39,far_left,Left,right,1.0,1.0,4.0,26044874,right,1.0,0.983000000000004,friz,far,rel
40,near_left,Home,left,1.0,2.0,10.0,26044874,left,1.0,1.433999999999969,friz,near,abs
41,far_left,Home,left,1.0,3.0,8.0,26044874,left,1.0,0.7169999999999845,friz,far,abs
42,near_left,Away,right,1.0,4.0,14.0,26044874,right,1.0,0.7509999999999764,friz,near,abs
43,far_left,Right,left,1.0,5.0,0.0,26044874,left,1.0,0.8840000000000146,friz,far,rel
