,stim1,prompt1,answer1,trialsthisRepN,trialsthisTrialN,trialsthisIndex,participant,Trials_responsekeys,Trials_responsecorr,Trials_responsert,condition,stimLoc,promptType,leftRight,flipper,newCorrect
39,near_right,Home,right,1.0,1.0,3.0,40119543,right,1.0,1.5840000000000032,Navigation,Near,Absolute,Right,nonflipper,1.0
40,far_right,Right,left,1.0,2.0,13.0,40119543,left,1.0,1.2169999999999843,Navigation,Far,Relative,Right,nonflipper,1.0
41,near_left,Home,left,1.0,3.0,2.0,40119543,left,1.0,0.8340000000000032,Navigation,Near,Absolute,Left,nonflipper,1.0
42,far_right,Left,right,1.0,4.0,9.0,40119543,right,1.0,1.7640000000000102,Navigation,Far,Relative,Right,nonflipper,1.0
43,near_left,Right,right,1.0,5.0,14.0,40119543,right,1.0,1.2489999999999668,Navigation,Near,Relative,Left,nonflipper,1.0
44,near_left,Left,left,1.0,6.0,10.0,40119543,left,1.0,0.8019999999999641,Navigation,Near,Relative,Left,nonflipper,1.0
45,far_right,Home,right,1.0,7.0,1.0,40119543,right,1.0,1.115000000000009,Navigation,Far,Absolute,Right,nonflipper,1.0
46,near_right,Left,left,1.0,8.0,11.0,40119543,left,1.0,1.1850000000000025,Navigation,Near,Relative,Right,nonflipper,1.0
47,far_left,Away,right,1.0,9.0,4.0,40119543,right,1.0,1.2150000000000318,Navigation,Far,Absolute,Left,nonflipper,1.0
48,far_left,Right,left,1.0,10.0,12.0,40119543,left,1.0,1.0329999999999586,Navigation,Far,Relative,Left,nonflipper,1.0
49,far_right,Away,left,1.0,11.0,5.0,40119543,left,1.0,1.613999999999976,Navigation,Far,Absolute,Right,nonflipper,1.0
50,far_left,Home,left,1.0,12.0,0.0,40119543,left,1.0,1.0679999999999836,Navigation,Far,Absolute,Left,nonflipper,1.0
51,far_left,Left,right,1.0,13.0,8.0,40119543,right,1.0,1.2010000000000218,Navigation,Far,Relative,Left,nonflipper,1.0
52,near_right,Away,left,1.0,14.0,7.0,40119543,left,1.0,1.0500000000000114,Navigation,Near,Absolute,Right,nonflipper,1.0
53,near_left,Away,right,1.0,15.0,6.0,40119543,right,1.0,1.1170000000000186,Navigation,Near,Absolute,Left,nonflipper,1.0
54,far_left,Away,right,2.0,0.0,4.0,40119543,right,1.0,1.031000000000006,Navigation,Far,Absolute,Left,nonflipper,1.0
55,far_left,Home,left,2.0,1.0,0.0,40119543,left,1.0,1.0840000000000032,Navigation,Far,Absolute,Left,nonflipper,1.0
56,far_right,Home,right,2.0,2.0,1.0,40119543,right,1.0,1.016999999999996,Navigation,Far,Absolute,Right,nonflipper,1.0
57,near_right,Home,right,2.0,3.0,3.0,40119543,right,1.0,0.9839999999999804,Navigation,Near,Absolute,Right,nonflipper,1.0
58,far_right,Left,right,2.0,4.0,9.0,40119543,right,1.0,1.848999999999989,Navigation,Far,Relative,Right,nonflipper,1.0
59,near_right,Away,left,2.0,5.0,7.0,40119543,left,1.0,1.2490000000000236,Navigation,Near,Absolute,Right,nonflipper,1.0
60,near_right,Left,left,2.0,6.0,11.0,40119543,left,1.0,1.1680000000000064,Navigation,Near,Relative,Right,nonflipper,1.0
61,far_left,Left,right,2.0,7.0,8.0,40119543,right,1.0,1.197999999999979,Navigation,Far,Relative,Left,nonflipper,1.0
62,far_right,Right,left,2.0,8.0,13.0,40119543,left,1.0,1.1829999999999927,Navigation,Far,Relative,Right,nonflipper,1.0
63,near_left,Right,right,2.0,9.0,14.0,40119543,right,1.0,1.2160000000000082,Navigation,Near,Relative,Left,nonflipper,1.0
64,near_right,Right,right,2.0,10.0,15.0,40119543,right,1.0,1.218999999999994,Navigation,Near,Relative,Right,nonflipper,1.0
65,near_left,Left,left,2.0,11.0,10.0,40119543,left,1.0,0.8520000000000323,Navigation,Near,Relative,Left,nonflipper,1.0
66,near_left,Away,right,2.0,12.0,6.0,40119543,right,1.0,1.016999999999996,Navigation,Near,Absolute,Left,nonflipper,1.0
67,near_left,Home,left,2.0,13.0,2.0,40119543,left,1.0,1.1650000000000205,Navigation,Near,Absolute,Left,nonflipper,1.0
68,far_left,Right,left,2.0,14.0,12.0,40119543,left,1.0,1.399000000000001,Navigation,Far,Relative,Left,nonflipper,1.0
69,far_right,Away,left,2.0,15.0,5.0,40119543,left,1.0,1.049000000000035,Navigation,Far,Absolute,Right,nonflipper,1.0
70,far_left,Left,right,3.0,0.0,8.0,40119543,right,1.0,1.1170000000000186,Navigation,Far,Relative,Left,nonflipper,1.0
71,near_left,Away,right,3.0,1.0,6.0,40119543,right,1.0,1.2630000000000337,Navigation,Near,Absolute,Left,nonflipper,1.0
72,near_left,Home,left,3.0,2.0,2.0,40119543,left,1.0,1.0500000000000114,Navigation,Near,Absolute,Left,nonflipper,1.0
73,near_right,Right,right,3.0,3.0,15.0,40119543,right,1.0,1.2150000000000318,Navigation,Near,Relative,Right,nonflipper,1.0
74,far_left,Home,left,3.0,4.0,0.0,40119543,left,1.0,1.399000000000001,Navigation,Far,Absolute,Left,nonflipper,1.0
75,far_left,Right,left,3.0,5.0,12.0,40119543,left,1.0,1.2649999999999864,Navigation,Far,Relative,Left,nonflipper,1.0
76,far_right,Right,left,3.0,6.0,13.0,40119543,left,1.0,1.5339999999999918,Navigation,Far,Relative,Right,nonflipper,1.0
77,far_right,Home,right,3.0,7.0,1.0,40119543,right,1.0,1.0160000000000196,Navigation,Far,Absolute,Right,nonflipper,1.0
