participant,Unnamed: 0,stim1,prompt1,answer1,trialsthisRepN,trialsthisTrialN,trialsthisIndex,Trials_responsekeys,Trials_responsecorr,Trials_responsert,condition,stimLoc,promptType,leftRight,flipper,newCorrect,Sex,Age,SBSOD_AVERAGE,Friz_Total_Years_Played,Friz_Force_Preference,Friz_Position,Friz_Handedness,Friz_First_is_1
81058337,36,far_right,Home,right,0.0,14.0,5.0,right,1.0,0.7189999999999941,Frisbee,Far,Absolute,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,37,near_left,Right,left,0.0,15.0,10.0,left,1.0,0.7179999999999893,Frisbee,Near,Relative,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,38,far_left,Left,left,1.0,0.0,0.0,left,1.0,0.4660000000000082,Frisbee,Far,Relative,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,40,far_left,Away,right,1.0,2.0,12.0,right,1.0,0.6510000000000105,Frisbee,Far,Absolute,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,41,far_right,Left,left,1.0,3.0,1.0,left,1.0,0.5349999999999966,Frisbee,Far,Relative,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,42,near_right,Home,left,1.0,4.0,7.0,left,1.0,0.7680000000000007,Frisbee,Near,Absolute,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,43,near_left,Right,left,1.0,5.0,10.0,left,1.0,0.8509999999999991,Frisbee,Near,Relative,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,44,far_right,Right,right,1.0,6.0,9.0,right,1.0,0.6829999999999927,Frisbee,Far,Relative,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,45,near_left,Left,right,1.0,7.0,2.0,right,1.0,0.46700000000001296,Frisbee,Near,Relative,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,46,near_right,Left,right,1.0,8.0,3.0,right,1.0,0.5020000000000095,Frisbee,Near,Relative,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,47,far_left,Home,right,1.0,9.0,4.0,right,1.0,0.5840000000000032,Frisbee,Far,Absolute,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,48,far_right,Home,right,1.0,10.0,5.0,right,1.0,0.4830000000000041,Frisbee,Far,Absolute,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,49,far_right,Away,left,1.0,11.0,13.0,left,1.0,0.8160000000000025,Frisbee,Far,Absolute,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,50,near_left,Home,left,1.0,12.0,6.0,left,1.0,0.6349999999999909,Frisbee,Near,Absolute,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,51,near_left,Away,right,1.0,13.0,14.0,right,1.0,0.6500000000000057,Frisbee,Near,Absolute,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,52,near_right,Away,left,1.0,14.0,15.0,left,1.0,0.5500000000000114,Frisbee,Near,Absolute,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,53,far_left,Right,left,1.0,15.0,8.0,left,1.0,0.7169999999999845,Frisbee,Far,Relative,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,54,far_right,Right,right,2.0,0.0,9.0,right,1.0,0.5349999999999966,Frisbee,Far,Relative,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,56,far_left,Home,right,2.0,2.0,4.0,right,1.0,0.8330000000000268,Frisbee,Far,Absolute,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,57,far_left,Right,left,2.0,3.0,8.0,left,1.0,0.6189999999999998,Frisbee,Far,Relative,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,58,far_left,Left,left,2.0,4.0,0.0,left,1.0,0.6340000000000146,Frisbee,Far,Relative,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,59,far_left,Away,right,2.0,5.0,12.0,right,1.0,0.4340000000000259,Frisbee,Far,Absolute,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
